,word,valence,arousal,dominance
16412,prise,0.583,0.469,0.377
16413,gazon,0.427,0.383,0.333
16414,un soda,0.688,0.314,0.364
16415,soda,0.581,0.410,0.382
16416,farniente,0.240,0.500,0.400
16417,sodium,0.490,0.340,0.291
16418,canapé,0.583,0.106,0.263
16419,doux,0.760,0.179,0.232
16420,softball,0.735,0.630,0.518
16421,adoucir,0.694,0.194,0.392
16422,assouplissant,0.745,0.300,0.373
16423,ramollissement,0.700,0.255,0.361
16424,doucement,0.517,0.206,0.304
16425,douceur,0.875,0.086,0.402
16426,Logiciel,0.561,0.280,0.570
16427,détrempé,0.312,0.350,0.241
16428,tellement heureux,0.949,0.673,0.681
16429,sol,0.350,0.180,0.356
16430,souillé,0.106,0.529,0.213
16431,soirée,0.729,0.692,0.578
16432,séjour,0.514,0.243,0.509
16433,réconfort,0.776,0.294,0.453
16434,solaire,0.622,0.452,0.645
16435,solarium,0.602,0.356,0.421
16436,souder,0.439,0.510,0.611
16437,soudure,0.573,0.536,0.538
16438,soldat,0.392,0.708,0.768
16439,Unique,0.427,0.194,0.279
16440,solennel,0.708,0.370,0.709
16441,solliciter,0.620,0.490,0.604
16442,sollicitation,0.612,0.519,0.415
16443,solliciteur,0.600,0.479,0.802
16444,solide,0.667,0.304,0.763
16445,solidarité,0.792,0.407,0.781
16446,solidification,0.480,0.500,0.827
16447,solidifié,0.633,0.415,0.745
16448,solidifier,0.583,0.318,0.754
16449,solidité,0.745,0.444,0.850
16450,solitaire,0.365,0.227,0.279
16451,solitaire,0.224,0.202,0.268
16452,solitude,0.208,0.226,0.358
16453,solo,0.438,0.190,0.325
16454,solubilité,0.506,0.360,0.442
16455,soluble,0.542,0.272,0.409
16456,Tellement chanceux,0.573,0.529,0.615
16457,Solution,0.790,0.339,0.664
16458,résoudre,0.656,0.530,0.688
16459,solvabilité,0.604,0.296,0.605
16460,solvant,0.635,0.316,0.573
16461,NO TRANSLATION,0.429,0.490,0.463
16462,somatique,0.438,0.406,0.444
16463,sombre,0.184,0.500,0.380
16464,une certaine anticipation,0.423,0.482,0.472
16465,un peu de dégoût,0.094,0.657,0.321
16466,une surprise,0.827,0.849,0.500
16467,une certaine confiance,0.594,0.451,0.547
16468,saut périlleux,0.214,0.769,0.519
16469,NO TRANSLATION,0.573,0.567,0.509
16470,plutôt négatif,0.208,0.480,0.150
16471,plutôt positif,0.920,0.510,0.667
16472,NO TRANSLATION,0.510,0.598,0.441
16473,fils,0.792,0.365,0.528
16474,sonar,0.541,0.480,0.414
16475,sonate,0.643,0.406,0.425
16476,NO TRANSLATION,0.344,0.655,0.373
16477,chanson,0.854,0.413,0.500
16478,auteur compositeur,0.844,0.558,0.713
16479,sonique,0.594,0.500,0.481
16480,NO TRANSLATION,0.500,0.356,0.421
16481,sonnet,0.718,0.294,0.404
16482,sonore,0.646,0.580,0.442
16483,suie,0.375,0.328,0.292
16484,apaiser,0.817,0.194,0.412
16485,apaisant,0.625,0.179,0.519
16486,sophistiqué,0.865,0.481,0.845
16487,sophistication,0.792,0.472,0.704
16488,sophomore,0.653,0.415,0.427
16489,NO TRANSLATION,0.276,0.577,0.433
16490,sentimental,0.510,0.355,0.297
16491,soprano,0.552,0.550,0.685
16492,sorcier,0.377,0.633,0.632
16493,sorcellerie,0.279,0.740,0.640
16494,sordide,0.219,0.555,0.447
16495,endolori,0.094,0.650,0.224
16496,si prêt,0.622,0.500,0.545
16497,grandement,0.284,0.727,0.370
16498,douleur,0.113,0.843,0.302
16499,sorgho,0.469,0.358,0.420
16500,sororité,0.635,0.637,0.627
16501,chagrin,0.052,0.235,0.164
16502,douloureux,0.049,0.422,0.163
16503,Pardon,0.406,0.362,0.212
16504,Trier,0.673,0.389,0.674
16505,NO TRANSLATION,0.594,0.412,0.823
16506,NO TRANSLATION,0.490,0.450,0.311
16507,tri,0.469,0.400,0.642
16508,NO TRANSLATION,0.354,0.675,0.386
16509,tellement peur,0.229,0.652,0.319
16510,si effrayant,0.301,0.660,0.414
16511,tellement lent,0.347,0.312,0.284
16512,NO TRANSLATION,0.435,0.481,0.578
16513,Si charmant,0.755,0.354,0.417
16514,NO TRANSLATION,0.729,0.526,0.418
16515,NO TRANSLATION,0.480,0.390,0.412
16516,âme,0.770,0.220,0.510
16517,émouvant,0.755,0.331,0.500
16518,inhumain,0.125,0.591,0.400
16519,âme sœur,0.890,0.500,0.628
16520,du son,0.765,0.623,0.398
16521,sondage,0.690,0.500,0.558
16522,solidité,0.780,0.377,0.893
16523,insonoriser,0.490,0.390,0.409
16524,bande sonore,0.630,0.559,0.518
16525,soupe,0.602,0.245,0.269
16526,acide,0.276,0.594,0.373
16527,la source,0.740,0.318,0.684
16528,sourpuss,0.188,0.620,0.382
16529,Sud,0.562,0.265,0.429
16530,en direction sud,0.510,0.370,0.395
16531,au sud,0.510,0.283,0.413
16532,du sud,0.552,0.269,0.370
16533,gaucher,0.542,0.389,0.404
16534,sud ouest,0.406,0.314,0.355
16535,souvenir,0.844,0.311,0.466
16536,souverain,0.698,0.500,0.885
16537,la souveraineté,0.719,0.529,0.886
16538,soviétique,0.347,0.580,0.536
16539,truie,0.667,0.430,0.446
16540,soja,0.438,0.250,0.286
16541,sauce soja,0.573,0.382,0.318
16542,soja,0.521,0.250,0.293
16543,spa,0.622,0.151,0.386
16544,espace,0.800,0.317,0.573
16545,vaisseau spatial,0.646,0.698,0.680
16546,astronaute,0.688,0.577,0.848
16547,vaisseau spatial,0.643,0.781,0.664
16548,espacement,0.621,0.425,0.507
16549,spacieux,0.880,0.365,0.557
16550,bêche,0.469,0.667,0.529
16551,spaghetti,0.729,0.353,0.288
16552,Spam,0.188,0.354,0.304
16553,spammeurs,0.354,0.500,0.418
16554,NO TRANSLATION,0.521,0.330,0.528
16555,spandex,0.429,0.520,0.429
16556,épagneul,0.561,0.435,0.385
16557,fesser,0.112,0.882,0.642
16558,fessée,0.194,0.736,0.392
16559,longeron,0.417,0.438,0.536
16560,de rechange,0.552,0.398,0.411
16561,spareribs,0.635,0.431,0.395
16562,avec parcimonie,0.510,0.353,0.518
16563,étincelle,0.688,0.745,0.529
16564,scintillait,0.819,0.765,0.510
16565,pétillant,0.700,0.418,0.598
16566,brillant,0.885,0.590,0.726
16567,sparring,0.292,0.870,0.704
16568,moineau,0.583,0.460,0.327
16569,clairsemé,0.240,0.367,0.209
16570,spasme,0.194,0.594,0.366
16571,spasmodique,0.240,0.541,0.491
16572,prise de bec,0.427,0.413,0.309
16573,spatial,0.604,0.625,0.645
16574,éclabousser,0.292,0.630,0.315
16575,spatule,0.302,0.198,0.369
16576,frayer,0.542,0.586,0.709
16577,spaz,0.443,0.500,0.268
16578,parler,0.765,0.472,0.500
16579,speakeasy,0.680,0.536,0.442
16580,orateur,0.604,0.660,0.723
16581,haut-parleur,0.531,0.569,0.560
16582,Parlant,0.753,0.590,0.575
16583,lance,0.510,0.601,0.500
16584,spec,0.583,0.426,0.691
16585,spécial,0.844,0.602,0.730
16586,spécialiste,0.760,0.562,0.877
16587,spécialité,0.854,0.470,0.885
16588,NO TRANSLATION,0.776,0.540,0.861
16589,spécialement,0.847,0.398,0.714
16590,spécialité,0.724,0.479,0.783
16591,NO TRANSLATION,0.583,0.471,0.650
16592,espèce,0.561,0.330,0.645
16593,spécifique,0.656,0.388,0.691
16594,spécification,0.552,0.479,0.602
16595,spécifier,0.656,0.405,0.600
16596,spécimen,0.531,0.444,0.568
16597,grain,0.418,0.245,0.343
16598,tacheté,0.449,0.263,0.254
16599,spécifications,0.540,0.398,0.618
16600,spectacle,0.812,0.745,0.762
16601,lunettes,0.816,0.775,0.648
16602,spectaculaire,0.947,0.740,0.887
16603,spectateur,0.694,0.560,0.667
16604,spectre,0.265,0.723,0.540
16605,spectral,0.430,0.667,0.500
16606,spectromètre,0.500,0.452,0.490
16607,spectrophotomètre,0.500,0.484,0.500
16608,spectroscopie,0.470,0.541,0.570
16609,spectre,0.312,0.700,0.527
16610,spéculer,0.398,0.602,0.553
16611,spéculation,0.325,0.683,0.394
16612,spéculatif,0.276,0.591,0.464
16613,spéculum,0.417,0.469,0.433
16614,discours,0.656,0.470,0.688
16615,muet,0.459,0.320,0.315
16616,la vitesse,0.719,0.849,0.658
16617,vedette,0.635,0.858,0.612
16618,rapidement,0.688,0.740,0.665
16619,excès de vitesse,0.438,0.908,0.645
16620,compteur de vitesse,0.427,0.549,0.579
16621,voie rapide,0.667,0.519,0.416
16622,rapide,0.625,0.625,0.793
16623,épeler,0.385,0.380,0.368
16624,envoûté,0.531,0.647,0.387
16625,orthographe,0.594,0.357,0.398
16626,Spencer,0.510,0.394,0.367
16627,dépenser,0.672,0.745,0.429
16628,dépensier,0.312,0.692,0.377
16629,dépenses,0.333,0.556,0.330
16630,dépensé,0.296,0.296,0.263
16631,sperme,0.396,0.706,0.453
16632,vomir,0.260,0.651,0.573
16633,sphère,0.633,0.277,0.500
16634,sphérique,0.550,0.308,0.500
16635,sphincter,0.347,0.633,0.375
16636,sphinx,0.604,0.324,0.490
16637,spic,0.302,0.455,0.451
16638,pimenter,0.594,0.439,0.384
16639,épicé,0.440,0.733,0.610
16640,Araign? e,0.229,0.569,0.430
16641,araignées,0.260,0.696,0.368
16642,spiffy,0.615,0.582,0.470
16643,robinet,0.380,0.346,0.423
16644,pointe,0.382,0.510,0.408
16645,dopé,0.281,0.613,0.407
16646,spiky,0.284,0.657,0.587
16647,répandre,0.408,0.633,0.456
16648,NO TRANSLATION,0.375,0.500,0.362
16649,tourner,0.551,0.422,0.345
16650,épinard,0.583,0.200,0.368
16651,spinal,0.312,0.491,0.296
16652,broche,0.552,0.410,0.360
16653,colonne vertébrale,0.495,0.461,0.600
16654,mou,0.344,0.387,0.321
16655,fileur,0.458,0.593,0.471
16656,filage,0.594,0.610,0.481
16657,vieille fille,0.357,0.368,0.345
16658,épineux,0.167,0.639,0.528
16659,spirale,0.490,0.624,0.361
16660,flèche,0.354,0.358,0.389
16661,esprit,0.786,0.370,0.621
16662,fougueux,0.854,0.587,0.734
16663,esprits,0.583,0.847,0.545
16664,spirituel,0.938,0.327,0.564
16665,spiritualité,0.865,0.281,0.667
16666,cracher,0.149,0.545,0.436
16667,dépit,0.080,0.600,0.317
16668,malveillant,0.073,0.710,0.330
16669,spitfire,0.233,0.623,0.566
16670,crachoir,0.276,0.426,0.280
16671,éclaboussure,0.521,0.412,0.281
16672,splat,0.510,0.433,0.385
16673,éclabousser,0.312,0.596,0.352
16674,rate,0.448,0.255,0.396
16675,splendide,0.896,0.740,0.810
16676,splendeur,0.927,0.612,0.850
16677,épissure,0.386,0.460,0.377
16678,spline,0.490,0.398,0.407
16679,éclisse,0.179,0.400,0.343
16680,éclat,0.136,0.422,0.325
16681,Divisé,0.344,0.618,0.410
16682,scission,0.188,0.598,0.375
16683,faire des folies,0.365,0.481,0.542
16684,gâcher,0.146,0.723,0.328
16685,becquet,0.347,0.527,0.380
16686,gâter,0.135,0.678,0.306
16687,dépouilles,0.388,0.760,0.481
16688,parlait,0.635,0.433,0.483
16689,parlé,0.551,0.363,0.545
16690,porte-parole,0.720,0.480,0.611
16691,porte-parole,0.573,0.453,0.615
16692,éponge,0.551,0.192,0.219
16693,spongieux,0.469,0.324,0.344
16694,parrainer,0.729,0.537,0.800
16695,parrainage,0.854,0.608,0.696
16696,spontanéité,0.817,0.698,0.655
16697,spontané,0.780,0.578,0.655
16698,parodie,0.490,0.594,0.381
16699,effrayer,0.327,0.887,0.322
16700,effrayant,0.104,0.858,0.380
16701,bobine,0.397,0.389,0.312
16702,cuillère,0.479,0.236,0.259
16703,cuillerée,0.582,0.208,0.308
16704,sporadique,0.333,0.394,0.500
16705,spore,0.480,0.408,0.231
16706,sport,0.865,0.700,0.657
16707,sportif,0.917,0.656,0.675
16708,des sports,0.833,0.683,0.587
16709,voiture de sport,0.759,0.696,0.669
16710,sportif,0.755,0.735,0.713
16711,esprit sportif,0.890,0.582,0.694
16712,journaliste sportif,0.760,0.551,0.566
16713,sportif,0.735,0.713,0.648
16714,place,0.510,0.180,0.336
16715,impeccable,0.792,0.327,0.726
16716,projecteur,0.688,0.353,0.519
16717,à pois,0.354,0.472,0.295
16718,observateur,0.542,0.491,0.644
16719,à pois,0.281,0.606,0.241
16720,conjoint,0.656,0.582,0.632
16721,époux,0.750,0.600,0.645
16722,bec,0.438,0.357,0.309
16723,entorse,0.063,0.580,0.384
16724,étalement,0.600,0.596,0.672
16725,vaporisateur,0.438,0.410,0.333
16726,propager,0.570,0.583,0.651
16727,épandeur,0.510,0.480,0.500
16728,fête,0.564,0.663,0.474
16729,printemps,0.837,0.370,0.481
16730,printemps,0.837,0.439,0.722
16731,saupoudrer,0.635,0.404,0.380
16732,arroseur,0.510,0.434,0.473
16733,saupoudrage,0.677,0.510,0.466
16734,sprint,0.549,0.649,0.528
16735,lutin,0.561,0.438,0.625
16736,germer,0.582,0.565,0.443
16737,épicéa,0.604,0.288,0.380
16738,patate,0.403,0.423,0.349
16739,cran,0.438,0.632,0.473
16740,plein de cran,0.646,0.879,0.755
16741,éperon,0.378,0.545,0.340
16742,faux,0.178,0.480,0.343
16743,stimulé,0.562,0.684,0.472
16744,gicler,0.448,0.550,0.475
16745,espion,0.260,0.686,0.530
16746,querelle,0.173,0.850,0.500
16747,équipe,0.552,0.711,0.806
16748,escadron,0.469,0.686,0.787
16749,bourrasque,0.191,0.833,0.655
16750,squameux,0.344,0.446,0.418
16751,gaspiller,0.240,0.755,0.529
16752,carré,0.509,0.340,0.291
16753,écraser,0.531,0.667,0.410
16754,s'accroupir,0.330,0.550,0.453
16755,squatter,0.390,0.361,0.565
16756,squaw,0.428,0.441,0.398
16757,cri,0.265,0.480,0.245
16758,grincer,0.271,0.679,0.300
16759,grinçant,0.229,0.771,0.367
16760,hurler,0.250,0.731,0.375
16761,fouisseur,0.541,0.519,0.330
16762,délicat,0.176,0.656,0.453
16763,écraser,0.458,0.676,0.532
16764,pressant,0.260,0.598,0.557
16765,écraser,0.271,0.510,0.462
16766,calamar,0.497,0.398,0.357
16767,strabisme,0.385,0.461,0.452
16768,écuyer,0.479,0.459,0.710
16769,se tortiller,0.235,0.824,0.373
16770,écureuil,0.592,0.358,0.333
16771,jet,0.406,0.460,0.255
16772,gargouillis,0.260,0.788,0.481
16773,spongieux,0.516,0.333,0.307
16774,poignarder,0.167,0.882,0.595
16775,poignardé,0.031,0.875,0.431
16776,la stabilité,0.812,0.264,0.849
16777,stabiliser,0.839,0.427,0.722
16778,stabilisateur,0.688,0.353,0.767
16779,stable,0.725,0.204,0.735
16780,staccato,0.396,0.500,0.427
16781,empiler,0.470,0.282,0.427
16782,stade,0.635,0.679,0.611
16783,Personnel,0.745,0.274,0.627
16784,cerf,0.594,0.250,0.389
16785,étape,0.592,0.306,0.473
16786,diligence,0.516,0.519,0.627
16787,machiniste,0.420,0.684,0.555
16788,échelonner,0.531,0.620,0.458
16789,échelonnement,0.520,0.657,0.683
16790,stagnant,0.300,0.500,0.208
16791,stagnation,0.276,0.324,0.396
16792,staid,0.385,0.290,0.634
16793,tache,0.453,0.324,0.264
16794,coloré,0.245,0.460,0.209
16795,inoxydable,0.594,0.329,0.618
16796,escalier,0.375,0.354,0.345
16797,escalier,0.469,0.347,0.440
16798,escaliers,0.510,0.439,0.342
16799,escalier,0.562,0.510,0.407
16800,cage d'escalier,0.510,0.292,0.333
16801,pieu,0.406,0.608,0.460
16802,surveillance,0.344,0.546,0.600
16803,vicié,0.235,0.461,0.286
16804,impasse,0.296,0.354,0.267
16805,tige,0.436,0.272,0.395
16806,harceleur,0.177,0.930,0.639
16807,stalle,0.370,0.245,0.292
16808,étalon,0.628,0.596,0.779
16809,stalles,0.582,0.378,0.451
16810,vigoureux,0.812,0.430,0.691
16811,endurance,0.664,0.694,0.877
16812,timbre,0.438,0.327,0.441
16813,débandade,0.235,0.875,0.683
16814,position,0.604,0.333,0.609
16815,supporter,0.600,0.324,0.509
16816,la norme,0.673,0.143,0.605
16817,standardiser,0.684,0.353,0.729
16818,standardisé,0.610,0.324,0.607
16819,Etre prêt,0.260,0.224,0.386
16820,permanent,0.604,0.317,0.425
16821,impasse,0.333,0.840,0.558
16822,point de vue,0.585,0.388,0.652
16823,arrêt,0.441,0.203,0.500
16824,se lever,0.633,0.583,0.550
16825,strophe,0.612,0.343,0.297
16826,Staph,0.375,0.480,0.412
16827,agrafe,0.542,0.306,0.438
16828,agrafeuse,0.370,0.264,0.394
16829,étoile,0.833,0.418,0.560
16830,étoile fruit,0.701,0.433,0.427
16831,tribord,0.531,0.388,0.558
16832,amidon,0.507,0.354,0.312
16833,célébrité,0.844,0.786,0.689
16834,poussière d'étoiles,0.843,0.410,0.549
16835,regard,0.541,0.430,0.538
16836,étoile de mer,0.680,0.320,0.421
16837,observation des étoiles,0.802,0.461,0.709
16838,regarder,0.542,0.306,0.423
16839,rigide,0.330,0.630,0.577
16840,starlette,0.806,0.471,0.587
16841,lumière des étoiles,0.908,0.368,0.611
16842,étourneau,0.500,0.490,0.514
16843,étoilé,0.438,0.643,0.434
16844,étoiles,0.796,0.521,0.484
16845,vaisseau spatial,0.740,0.719,0.704
16846,début,0.684,0.430,0.589
16847,entrée,0.667,0.461,0.827
16848,surprendre,0.276,0.817,0.417
16849,surpris,0.333,0.865,0.526
16850,surprenant,0.750,0.768,0.830
16851,famine,0.240,0.592,0.284
16852,affamer,0.073,0.729,0.402
16853,affamé,0.097,0.689,0.219
16854,affamé,0.163,0.670,0.336
16855,planque,0.344,0.630,0.361
16856,stat,0.479,0.460,0.395
16857,Etat,0.562,0.320,0.604
16858,majestueux,0.830,0.728,0.915
16859,déclaration,0.688,0.608,0.825
16860,cabine,0.653,0.380,0.441
16861,États-Unis,0.643,0.480,0.708
16862,homme d'État,0.510,0.490,0.736
16863,statique,0.297,0.250,0.366
16864,NO TRANSLATION,0.357,0.278,0.358
16865,statique,0.542,0.290,0.527
16866,gare,0.688,0.367,0.519
16867,Stationnaire,0.408,0.240,0.484
16868,papeterie,0.570,0.120,0.455
16869,statistique,0.508,0.420,0.609
16870,statistique,0.714,0.353,0.627
16871,statisticien,0.571,0.360,0.703
16872,stator,0.281,0.453,0.557
16873,statuaire,0.561,0.281,0.500
16874,statue,0.542,0.153,0.570
16875,statuette,0.677,0.433,0.518
16876,stature,0.470,0.353,0.664
16877,statut,0.658,0.377,0.588
16878,loi,0.592,0.330,0.673
16879,statutaire,0.510,0.376,0.539
16880,étancher,0.480,0.363,0.833
16881,portée,0.417,0.333,0.424
16882,rester,0.604,0.275,0.516
16883,NO TRANSLATION,0.369,0.284,0.526
16884,séjourné,0.497,0.270,0.395
16885,reste,0.633,0.363,0.564
16886,place,0.551,0.214,0.510
16887,ferme,0.771,0.433,0.800
16888,stable,0.680,0.186,0.763
16889,steak,0.625,0.359,0.315
16890,steak House,0.802,0.379,0.547
16891,voler,0.021,0.856,0.528
16892,vol,0.086,0.913,0.455
16893,furtif,0.520,0.270,0.452
16894,furtivement,0.763,0.294,0.458
16895,furtif,0.380,0.363,0.534
16896,vapeur,0.469,0.413,0.421
16897,bateau à vapeur,0.708,0.500,0.633
16898,bateau à vapeur,0.510,0.442,0.528
16899,fumant,0.592,0.553,0.402
16900,rouleau compresseur,0.396,0.567,0.667
16901,navire à vapeur,0.469,0.490,0.569
16902,embué,0.479,0.538,0.445
16903,acier,0.521,0.420,0.714
16904,raide,0.312,0.612,0.321
16905,clocher,0.625,0.519,0.500
16906,diriger,0.469,0.490,0.527
16907,pilotage,0.580,0.431,0.660
16908,stellaire,0.796,0.580,0.769
16909,tige,0.615,0.191,0.336
16910,puanteur,0.104,0.570,0.298
16911,pochoir,0.500,0.327,0.421
16912,sténographe,0.510,0.408,0.589
16913,étape,0.531,0.321,0.347
16914,belle fille,0.510,0.510,0.432
16915,beau-père,0.396,0.491,0.611
16916,belle-mère,0.427,0.530,0.484
16917,steppe,0.427,0.321,0.379
16918,pas,0.511,0.349,0.373
16919,beau-fils,0.614,0.406,0.480
16920,stéréo,0.617,0.519,0.500
16921,stéréoscopique,0.363,0.417,0.574
16922,stéréotype,0.151,0.422,0.612
16923,stéréotypé,0.375,0.510,0.436
16924,stérile,0.302,0.471,0.291
16925,stérilité,0.201,0.519,0.414
16926,stériliser,0.406,0.510,0.520
16927,sterling,0.529,0.481,0.615
16928,arrière,0.552,0.394,0.415
16929,sternum,0.520,0.422,0.436
16930,stéroïde,0.360,0.706,0.681
16931,stéthoscope,0.427,0.377,0.490
16932,Ragoût,0.667,0.373,0.250
16933,intendant,0.633,0.238,0.550
16934,hôtesse,0.625,0.491,0.491
16935,intendance,0.551,0.440,0.617
16936,stfu,0.292,0.500,0.390
16937,bâton,0.396,0.364,0.382
16938,autocollant,0.583,0.306,0.346
16939,collage,0.486,0.425,0.356
16940,stickler,0.385,0.471,0.417
16941,braquage,0.453,0.537,0.434
16942,gluant,0.385,0.569,0.292
16943,rigide,0.158,0.459,0.569
16944,Raidir,0.360,0.582,0.719
16945,rigidité,0.323,0.500,0.657
16946,étouffer,0.240,0.764,0.427
16947,étouffé,0.229,0.731,0.193
16948,étouffant,0.163,0.858,0.608
16949,stigmate,0.327,0.500,0.470
16950,NO TRANSLATION,0.750,0.359,0.691
16951,stylet,0.396,0.430,0.427
16952,mortinatalité,0.092,0.809,0.291
16953,mort-né,0.271,0.519,0.337
16954,immobilité,0.729,0.125,0.339
16955,toujours en attente,0.344,0.393,0.420
16956,échasses,0.439,0.577,0.300
16957,stimulant,0.441,0.794,0.745
16958,stimuler,0.792,0.798,0.754
16959,stimulant,0.740,0.804,0.809
16960,stimulation,0.708,0.821,0.702
16961,stimulus,0.771,0.779,0.750
16962,piquer,0.163,0.651,0.373
16963,dard,0.279,0.625,0.508
16964,piqûre,0.260,0.730,0.459
16965,avare,0.094,0.548,0.283
16966,puanteur,0.042,0.481,0.180
16967,salaud,0.163,0.567,0.275
16968,puant,0.041,0.657,0.264
16969,puant,0.092,0.558,0.176
16970,besogne assignée,0.490,0.326,0.342
16971,traitement,0.604,0.546,0.614
16972,stipuler,0.570,0.546,0.623
16973,stipulation,0.469,0.622,0.654
16974,remuer,0.448,0.773,0.453
16975,en remuant,0.582,0.702,0.558
16976,point,0.306,0.538,0.357
16977,piqûre,0.510,0.382,0.345
16978,Stock,0.594,0.418,0.407
16979,palissade,0.375,0.402,0.500
16980,agent de change,0.417,0.676,0.802
16981,actionnaire,0.573,0.625,0.716
16982,stockage,0.594,0.324,0.688
16983,bas,0.458,0.365,0.382
16984,stocker,0.542,0.315,0.425
16985,magasin,0.562,0.312,0.406
16986,stocks,0.573,0.598,0.586
16987,stoïque,0.427,0.473,0.602
16988,a volé,0.135,0.760,0.384
16989,volé,0.156,0.646,0.308
16990,estomac,0.367,0.402,0.438
16991,maux d'estomac,0.030,0.745,0.316
16992,piétiner,0.365,0.565,0.438
16993,piétiné,0.229,0.684,0.406
16994,pierre,0.216,0.183,0.561
16995,lapidé,0.177,0.796,0.375
16996,mur de pierre,0.337,0.457,0.655
16997,grès,0.458,0.300,0.443
16998,pierreux,0.356,0.494,0.525
16999,larbin,0.438,0.406,0.163
17000,tabouret,0.448,0.269,0.302
17001,selles,0.459,0.382,0.327
17002,se baisser,0.490,0.430,0.284
17003,stoopid,0.280,0.431,0.382
17004,Arrêtez,0.280,0.510,0.490
17005,escale,0.531,0.327,0.575
17006,arrêt,0.224,0.491,0.445
17007,bouchon,0.365,0.336,0.390
17008,arrêt,0.388,0.382,0.473
17009,chronomètre,0.469,0.521,0.482
17010,espace de rangement,0.698,0.406,0.564
17011,le magasin,0.646,0.538,0.407
17012,vitrine,0.580,0.217,0.457
17013,entrepôt,0.570,0.250,0.491
17014,débarras,0.560,0.217,0.588
17015,stocker,0.630,0.378,0.548
17016,orage,0.188,0.940,0.543
17017,assaut,0.265,0.910,0.669
17018,orageux,0.146,0.870,0.562
17019,récit,0.653,0.406,0.704
17020,livre de contes,0.854,0.306,0.383
17021,conteur,0.730,0.357,0.462
17022,narration,0.643,0.375,0.472
17023,ternir,0.490,0.473,0.446
17024,bière,0.656,0.657,0.817
17025,poêle,0.466,0.391,0.405
17026,ranger,0.615,0.365,0.523
17027,passager clandestin,0.224,0.481,0.357
17028,enjamber,0.306,0.550,0.444
17029,tout droit,0.667,0.298,0.669
17030,redresser,0.677,0.500,0.685
17031,simple,0.780,0.150,0.380
17032,tout de suite,0.667,0.444,0.565
17033,souche,0.190,0.750,0.380
17034,tendu,0.122,0.656,0.580
17035,détroit,0.438,0.433,0.412
17036,camisole de force,0.224,0.719,0.579
17037,détroits,0.408,0.269,0.410
17038,brin,0.396,0.406,0.538
17039,échoué,0.292,0.459,0.219
17040,étrange,0.314,0.663,0.395
17041,étranger,0.330,0.449,0.302
17042,étrangler,0.094,0.927,0.527
17043,étranglement,0.040,0.886,0.542
17044,sangle,0.380,0.417,0.382
17045,sans bretelles,0.314,0.462,0.273
17046,cerclage,0.552,0.413,0.454
17047,couches,0.500,0.457,0.411
17048,stratégique,0.786,0.708,0.861
17049,stratège,0.571,0.594,0.810
17050,stratégie,0.704,0.667,0.858
17051,stratification,0.531,0.490,0.651
17052,stratosphère,0.604,0.583,0.636
17053,strate,0.365,0.307,0.510
17054,stratus,0.448,0.520,0.509
17055,paille,0.480,0.290,0.163
17056,fraise,0.833,0.270,0.336
17057,égarer,0.133,0.760,0.281
17058,traînée,0.440,0.608,0.511
17059,strié,0.458,0.426,0.393
17060,courant,0.449,0.537,0.559
17061,banderole,0.615,0.530,0.429
17062,diffusion,0.592,0.481,0.582
17063,rationaliser,0.656,0.573,0.618
17064,rue,0.594,0.324,0.398
17065,tramway,0.390,0.569,0.566
17066,éclairage public,0.673,0.268,0.390
17067,force,0.802,0.682,0.858
17068,renforcer,0.802,0.796,0.971
17069,renforcement,0.913,0.627,0.945
17070,ardu,0.104,0.660,0.481
17071,strep,0.365,0.594,0.353
17072,stress,0.173,0.843,0.317
17073,stressé,0.167,0.740,0.502
17074,contraintes,0.115,0.817,0.396
17075,NO TRANSLATION,0.833,0.080,0.528
17076,stressant,0.153,0.873,0.389
17077,NO TRANSLATION,0.146,0.810,0.367
17078,stressant,0.163,0.866,0.462
17079,NO TRANSLATION,0.627,0.417,0.475
17080,étendue,0.604,0.578,0.500
17081,tendeur,0.438,0.196,0.295
17082,sinistré,0.163,0.720,0.368
17083,strict,0.500,0.646,0.878
17084,foulée,0.490,0.670,0.434
17085,conflit,0.344,0.898,0.630
17086,la grève,0.271,0.811,0.571
17087,barré,0.316,0.520,0.371
17088,le buteur,0.500,0.589,0.696
17089,frappant,0.357,0.827,0.657
17090,étonnamment,0.690,0.684,0.811
17091,chaîne,0.385,0.398,0.445
17092,cordes,0.457,0.292,0.355
17093,filandreux,0.430,0.510,0.527
17094,bande,0.427,0.500,0.436
17095,Bande,0.629,0.302,0.361
17096,rayé,0.344,0.373,0.385
17097,dépouillé,0.255,0.615,0.278
17098,décapant,0.625,0.848,0.453
17099,strip-tease,0.607,0.918,0.608
17100,s'efforcer,0.582,0.837,0.769
17101,stroboscope,0.490,0.633,0.537
17102,accident vasculaire cérébral,0.562,0.440,0.570
17103,promenade,0.745,0.415,0.444
17104,poussette,0.786,0.398,0.314
17105,ambulant,0.755,0.515,0.340
17106,fort,0.912,0.745,0.895
17107,bastion,0.708,0.636,0.954
17108,fortement,0.630,0.817,0.885
17109,de construction,0.582,0.425,0.690
17110,structure,0.562,0.356,0.712
17111,strudel,0.627,0.417,0.397
17112,lutte,0.365,0.820,0.741
17113,se pavaner,0.580,0.480,0.464
17114,bout,0.396,0.320,0.367
17115,écrasé,0.323,0.642,0.241
17116,chaume,0.333,0.442,0.264
17117,têtu,0.157,0.702,0.575
